sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,0.0379607264548293,0.2793423395762403,0.0167175359306564,0.010014717091827,0.2531832495767102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0521464378009585,5.783678755258107,3.239488894564273,0.1732704095618318,0.1046932323450829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0921956339143877,0.1333051345417912,0.0019883408732836,0.0015580415749047,0.0118738246322629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.3443643835103931,3.748059664590432,3.3133885871879984,4.244329994718366,3.788776235170967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0753182860724871,0.0371556338335934,0.0093191247747157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.4277691149829965,2.588679625999654,4.840637918684831,0.0031934255878503,7.300229619211412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0139480916364199,6.6239368110526025,2.869664025727928,0.4030868672224605,0.2101439389084734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2741056473663632,0.2364557122738076,0.127075470859558,0.0238270511148099,0.0113849179553037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.109337774788038,5.939685001554632,4.530967291139981,0.4327272640283682,0.3771162145833943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0250053054087387,0.1602273274327106,0.0033802496016758,0.0079016930859484,0.0317291976810645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.852541961810317,15.582755250443752,5.892829224643729,0.089117730252948,0.252573558156927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0006102968613859,0.0193310375835814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8834335253306643,3.8191219238869674,5.134995241831484,1.5342096129073357,0.802932537975699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.023267305365399,0.211757751371992,0.0227195597545537,0.010333864089407,0.0747704409807507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
